Date/Time,Year,Month,Day,Time,Temp (°C),Weather
2016-06-11 16:00,2016,6,11,16:00,16.3,Mostly Cloudy
2016-06-11 19:00,2016,6,11,19:00,15.5,Mainly Clear
2016-06-11 22:00,2016,6,11,22:00,14.2,Cloudy
2016-06-12 01:00,2016,6,12,01:00,13.0,Mostly Cloudy
2016-06-12 04:00,2016,6,12,04:00,11.9,Mostly Cloudy
2016-06-12 07:00,2016,6,12,07:00,12.8,Mostly Cloudy
2016-06-12 10:00,2016,6,12,10:00,15.1,Mostly Cloudy
2016-06-12 13:00,2016,6,12,13:00,17.3,Mainly Clear
2016-06-12 16:00,2016,6,12,16:00,18.1,Mostly Cloudy
2016-06-12 19:00,2016,6,12,19:00,16.9,Mostly Cloudy
2016-06-12 22:00,2016,6,12,22:00,15.4,Cloudy
2016-06-13 01:00,2016,6,13,01:00,14.2,Cloudy
2016-06-13 04:00,2016,6,13,04:00,13.4,Cloudy
2016-06-13 05:00,2016,6,13,05:00,12.5,Rain Showers
2016-06-13 06:00,2016,6,13,06:00,12.5,Rain Showers
2016-06-13 07:00,2016,6,13,07:00,12.9,Cloudy
2016-06-13 08:00,2016,6,13,08:00,12.8,Rain Showers
2016-06-13 09:00,2016,6,13,09:00,13.8,Rain Showers
2016-06-13 10:00,2016,6,13,10:00,15.1,Mostly Cloudy
2016-06-13 13:00,2016,6,13,13:00,16.3,Mostly Cloudy
2016-06-13 16:00,2016,6,13,16:00,17.7,Mostly Cloudy
2016-06-13 19:00,2016,6,13,19:00,14.8,Mainly Clear
2016-06-13 22:00,2016,6,13,22:00,13.2,Mostly Cloudy
2016-06-14 01:00,2016,6,14,01:00,10.6,Mostly Cloudy
2016-06-14 04:00,2016,6,14,04:00,9.6,Cloudy
2016-06-14 07:00,2016,6,14,07:00,11.5,Cloudy
2016-06-14 10:00,2016,6,14,10:00,12.4,Cloudy
2016-06-14 13:00,2016,6,14,13:00,11.1,Moderate Rain Showers
2016-06-14 14:00,2016,6,14,14:00,12.1,Rain Showers
2016-06-14 16:00,2016,6,14,16:00,12.7,Cloudy
2016-06-14 19:00,2016,6,14,19:00,12.6,Mostly Cloudy
2016-06-14 22:00,2016,6,14,22:00,11.3,Mostly Cloudy
2016-06-15 01:00,2016,6,15,01:00,8.8,Mostly Cloudy
2016-06-15 04:00,2016,6,15,04:00,9.1,Mainly Clear
2016-06-15 07:00,2016,6,15,07:00,10.0,Rain Showers
2016-06-15 10:00,2016,6,15,10:00,12.3,Cloudy
2016-06-15 13:00,2016,6,15,13:00,14.1,Mostly Cloudy
2016-06-15 16:00,2016,6,15,16:00,14.8,Mainly Clear
2016-06-15 19:00,2016,6,15,19:00,13.7,Clear
2016-06-15 22:00,2016,6,15,22:00,9.9,Clear
2016-06-16 01:00,2016,6,16,01:00,8.8,Clear
2016-06-16 04:00,2016,6,16,04:00,8.5,Mainly Clear
2016-06-16 07:00,2016,6,16,07:00,12.4,Mostly Cloudy
2016-06-16 10:00,2016,6,16,10:00,14.9,Mostly Cloudy
2016-06-16 13:00,2016,6,16,13:00,16.0,Mostly Cloudy
2016-06-16 16:00,2016,6,16,16:00,16.4,Mostly Cloudy
2016-06-16 19:00,2016,6,16,19:00,15.7,Mostly Cloudy
2016-06-16 22:00,2016,6,16,22:00,14.0,Mostly Cloudy
2016-06-17 01:00,2016,6,17,01:00,11.8,Mainly Clear
2016-06-17 04:00,2016,6,17,04:00,10.1,Mainly Clear
2016-06-17 07:00,2016,6,17,07:00,14.5,Mainly Clear
2016-06-17 10:00,2016,6,17,10:00,16.3,Mainly Clear
2016-06-17 13:00,2016,6,17,13:00,18.8,Mainly Clear
2016-06-17 16:00,2016,6,17,16:00,19.7,Mainly Clear
2016-06-17 19:00,2016,6,17,19:00,17.9,Mostly Cloudy
2016-06-17 20:00,2016,6,17,20:00,17.1,Rain Showers
2016-06-17 22:00,2016,6,17,22:00,16.0,Mostly Cloudy
2016-06-18 01:00,2016,6,18,01:00,15.0,Cloudy
2016-06-18 04:00,2016,6,18,04:00,12.6,Rain
2016-06-18 05:00,2016,6,18,05:00,12.9,Rain
2016-06-18 06:00,2016,6,18,06:00,12.6,Rain
2016-06-18 07:00,2016,6,18,07:00,12.7,Rain
2016-06-18 08:00,2016,6,18,08:00,12.8,Rain
2016-06-18 09:00,2016,6,18,09:00,12.8,Rain
2016-06-18 10:00,2016,6,18,10:00,12.8,Rain
2016-06-18 11:00,2016,6,18,11:00,12.8,Rain
2016-06-18 12:00,2016,6,18,12:00,13.1,Rain
2016-06-18 13:00,2016,6,18,13:00,13.1,Rain
2016-06-18 14:00,2016,6,18,14:00,13.2,Rain
2016-06-18 15:00,2016,6,18,15:00,13.1,Rain
2016-06-18 16:00,2016,6,18,16:00,12.9,Rain
2016-06-18 17:00,2016,6,18,17:00,12.9,Rain
2016-06-18 19:00,2016,6,18,19:00,13.1,Cloudy
2016-06-18 21:00,2016,6,18,21:00,12.7,Rain Showers
2016-06-18 22:00,2016,6,18,22:00,12.7,Cloudy
2016-06-19 01:00,2016,6,19,01:00,12.1,Cloudy
2016-06-19 04:00,2016,6,19,04:00,12.3,Cloudy
2016-06-19 05:00,2016,6,19,05:00,11.8,Rain Showers
2016-06-19 06:00,2016,6,19,06:00,11.9,Rain Showers
2016-06-19 07:00,2016,6,19,07:00,12.3,Cloudy
2016-06-19 10:00,2016,6,19,10:00,13.6,Cloudy
2016-06-19 13:00,2016,6,19,13:00,15.6,Cloudy
2016-06-19 16:00,2016,6,19,16:00,17.2,Mainly Clear
2016-06-19 19:00,2016,6,19,19:00,15.5,Mainly Clear
2016-06-19 22:00,2016,6,19,22:00,14.3,Mainly Clear
2016-06-20 01:00,2016,6,20,01:00,10.0,Mainly Clear
2016-06-20 04:00,2016,6,20,04:00,12.8,Mostly Cloudy
2016-06-20 07:00,2016,6,20,07:00,13.9,Mostly Cloudy
2016-06-20 10:00,2016,6,20,10:00,17.3,Mostly Cloudy
2016-06-20 13:00,2016,6,20,13:00,19.9,Mostly Cloudy
2016-06-20 16:00,2016,6,20,16:00,19.1,Mostly Cloudy
2016-06-20 19:00,2016,6,20,19:00,18.2,Mainly Clear
2016-06-20 22:00,2016,6,20,22:00,15.9,Mostly Cloudy
2016-06-21 01:00,2016,6,21,01:00,14.6,Mostly Cloudy
2016-06-21 04:00,2016,6,21,04:00,13.3,Mostly Cloudy
2016-06-21 07:00,2016,6,21,07:00,15.0,Mostly Cloudy
2016-06-21 10:00,2016,6,21,10:00,17.4,Cloudy
2016-06-21 13:00,2016,6,21,13:00,19.6,Mostly Cloudy
2016-06-21 16:00,2016,6,21,16:00,19.9,Mostly Cloudy
2016-06-21 19:00,2016,6,21,19:00,16.8,Mostly Cloudy
2016-06-21 22:00,2016,6,21,22:00,15.6,Cloudy
2016-06-22 01:00,2016,6,22,01:00,13.8,Mostly Cloudy
2016-06-22 04:00,2016,6,22,04:00,13.3,Cloudy
2016-06-22 07:00,2016,6,22,07:00,14.6,Cloudy
2016-06-22 10:00,2016,6,22,10:00,17.5,Cloudy
2016-06-22 13:00,2016,6,22,13:00,20.4,Cloudy
2016-06-22 16:00,2016,6,22,16:00,17.8,Cloudy
2016-06-22 17:00,2016,6,22,17:00,16.5,Rain
2016-06-22 19:00,2016,6,22,19:00,15.9,Rain
2016-06-22 20:00,2016,6,22,20:00,15.2,Rain
2016-06-22 21:00,2016,6,22,21:00,15.3,Rain
